Date,مذاكرة,
2022-05-13,Entry(timestamp=2022-05-13, value=-1),
2022-05-12,Entry(timestamp=2022-05-12, value=-1),
2022-05-11,Entry(timestamp=2022-05-11, value=-1),
2022-05-10,Entry(timestamp=2022-05-10, value=-1),
2022-05-09,Entry(timestamp=2022-05-09, value=-1),
2022-05-08,Entry(timestamp=2022-05-08, value=-1),
2022-05-07,Entry(timestamp=2022-05-07, value=-1),
2022-05-06,Entry(timestamp=2022-05-06, value=2350),
2022-05-05,Entry(timestamp=2022-05-05, value=-1),
2022-05-04,Entry(timestamp=2022-05-04, value=1000),
2022-05-03,Entry(timestamp=2022-05-03, value=1000),
2022-05-02,Entry(timestamp=2022-05-02, value=-1),
2022-05-01,Entry(timestamp=2022-05-01, value=-1),
2022-04-30,Entry(timestamp=2022-04-30, value=-1),
2022-04-29,Entry(timestamp=2022-04-29, value=-1),
2022-04-28,Entry(timestamp=2022-04-28, value=-1),
2022-04-27,Entry(timestamp=2022-04-27, value=-1),
2022-04-26,Entry(timestamp=2022-04-26, value=-1),
2022-04-25,Entry(timestamp=2022-04-25, value=-1),
2022-04-24,Entry(timestamp=2022-04-24, value=-1),
2022-04-23,Entry(timestamp=2022-04-23, value=-1),
2022-04-22,Entry(timestamp=2022-04-22, value=-1),
2022-04-21,Entry(timestamp=2022-04-21, value=1000),
2022-04-20,Entry(timestamp=2022-04-20, value=2000),
2022-04-19,Entry(timestamp=2022-04-19, value=-1),
2022-04-18,Entry(timestamp=2022-04-18, value=-1),
2022-04-17,Entry(timestamp=2022-04-17, value=-1),
2022-04-16,Entry(timestamp=2022-04-16, value=-1),
2022-04-15,Entry(timestamp=2022-04-15, value=1000),
2022-04-14,Entry(timestamp=2022-04-14, value=-1),
2022-04-13,Entry(timestamp=2022-04-13, value=-1),
2022-04-12,Entry(timestamp=2022-04-12, value=2300),
2022-04-11,Entry(timestamp=2022-04-11, value=-1),
2022-04-10,Entry(timestamp=2022-04-10, value=-1),
2022-04-09,Entry(timestamp=2022-04-09, value=-1),
2022-04-08,Entry(timestamp=2022-04-08, value=-1),
2022-04-07,Entry(timestamp=2022-04-07, value=0),
2022-04-06,Entry(timestamp=2022-04-06, value=-1),
2022-04-05,Entry(timestamp=2022-04-05, value=-1),
2022-04-04,Entry(timestamp=2022-04-04, value=-1),
2022-04-03,Entry(timestamp=2022-04-03, value=-1),
2022-04-02,Entry(timestamp=2022-04-02, value=-1),
2022-04-01,Entry(timestamp=2022-04-01, value=-1),
2022-03-31,Entry(timestamp=2022-03-31, value=-1),
2022-03-30,Entry(timestamp=2022-03-30, value=-1),
2022-03-29,Entry(timestamp=2022-03-29, value=0),
